Gryoscope_X,Gryoscope_Y,Gryoscope_Z
0.839498801,-0.38374673,0.059480502
0.883205278,-0.438299196,0.028210996
0.902941151,-0.500374811,-0.009844243
0.922271175,-0.490016179,-0.043833105
0.969768388,-0.406468021,-0.053960306
1.054210527,-0.287454562,-0.075584644
1.138337476,-0.128538938,-0.123578267
1.18085192,0.043480763,-0.184577169
1.170281513,0.225365071,-0.24521202
1.119335277,0.395884348,-0.271287041
1.045247419,0.502255244,-0.27573611
0.917102797,0.49223618,-0.250294404
0.723620935,0.441793246,-0.221116545
0.504704816,0.385689778,-0.182364615
0.272765352,0.338685496,-0.116625281
0.017963419,0.302551193,-0.03270988
-0.235478701,0.289099319,0.057157161
-0.47125368,0.32740329,0.154279722
-0.682191508,0.439167632,0.241159214
-0.8712184,0.566710157,0.328641934
-1.038407938,0.614302976,0.426574899
-1.206125038,0.562963648,0.539483352
-1.37869467,0.428855343,0.659641428
-1.577923911,0.214034124,0.74807225
-1.770130055,0.011463176,0.786812706
-1.976461904,-0.137036281,0.79435025
-2.181684153,-0.217861624,0.810229881
-2.349987881,-0.22876461,0.854624493
-2.440156834,-0.210396247,0.9551969
-2.441916125,-0.209114479,1.049342377
-2.394960539,-0.238998862,1.132059796
-2.298893349,-0.252529071,1.20346318
-2.164567845,-0.28344916,1.239857419
-1.997705715,-0.324557977,1.240656359
-1.799332397,-0.369919853,1.207942827
-1.571089404,-0.38169183,1.150591476
-1.30159642,-0.353041546,1.064479454
-0.990011649,-0.272073464,0.945083304
-0.635691063,-0.132616775,0.791091068
-0.256200747,0.027053854,0.611195071
0.137317239,0.143727211,0.420575304
0.521287782,0.223504586,0.228610141
0.882830305,0.235077886,0.034269421
1.196613295,0.251218511,-0.153635772
1.45758198,0.291986181,-0.325823771
1.68009661,0.363152249,-0.486971395
1.871312363,0.480034126,-0.630484359
2.028288944,0.648986383,-0.75528379
2.164869888,0.836675866,-0.865213232
2.273288591,0.941835029,-0.965287881
2.337410314,0.952416284,-1.023857253
2.361288173,0.89667259,-1.010840433
2.333392246,0.842314286,-0.956219034
2.259253605,0.790260179,-0.875909822
2.142737253,0.725138409,-0.787097649
1.987300737,0.665112598,-0.716377156
1.798776372,0.588391764,-0.671246128
1.568358882,0.488428665,-0.656583326
1.301566346,0.417002423,-0.652018146
1.041907532,0.399359508,-0.634442584
0.805826588,0.379226281,-0.582269685
0.630279286,0.38791324,-0.503189759
0.502607627,0.399506791,-0.420790242
0.399529142,0.404881848,-0.358742313
0.311050428,0.367806656,-0.335125672
0.213608293,0.295326038,-0.365803407
0.099054275,0.226947529,-0.425702171
-0.072122799,0.207554652,-0.471575396
-0.290458875,0.236782579,-0.483277844
-0.506585555,0.282266719,-0.449593114
-0.709502714,0.350096358,-0.373560952
-0.917105751,0.397214336,-0.237839596
-1.117629545,0.40724699,-0.074478896
-1.323112028,0.362965806,0.080813756
-1.520254152,0.272052152,0.209814606
-1.703861611,0.12298411,0.323641582
-1.868735688,-0.079868333,0.406707181
-2.011265175,-0.309278356,0.45985855
-2.121712105,-0.562556164,0.483599557
-2.183889525,-0.794146793,0.459606065
-2.210989373,-0.951881008,0.445032193
-2.196089165,-0.980725186,0.424296273
-2.143502133,-0.910596149,0.398094518
-2.040387289,-0.739358919,0.350688918
-1.849935191,-0.538719551,0.247185154
-1.536157267,-0.400726246,0.054440202
-1.128900783,-0.364476906,-0.239658804
-0.669080751,-0.388849096,-0.614944773
-0.177319528,-0.426561044,-1.018095152
0.281325294,-0.417612301,-1.384907262
0.675693078,-0.322083639,-1.624966519
1.041554673,-0.141294138,-1.748254316
1.37722276,0.06025335,-1.773439066
1.676920278,0.235392405,-1.729938166
1.923545463,0.344047262,-1.662417428
2.114415748,0.380755736,-1.582698958
2.243879421,0.331130667,-1.479641454
2.325577123,0.212325705,-1.330142872
